"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal"
"MLWI" "6" "-0.267204496117839" "0.823295216892211" "MLWI"
"MLWI" "7" "-0.260250394332527" "0.826691017418435" "MLWI"
"MLWI" "6" "-0.2590257975385" "0.828926363262122" "MLWI"
"MLWI" "7" "-0.260250394332527" "0.826691017418435" "MLWI"
"MLWI" "6" "-0.267204496117839" "0.823295216892211" "MLWI"
"MLWI" "8" "-0.130839208248111" "0.899599550461076" "MLWI"
"MLWI" "6" "0.264318105543888" "0.974411382150994" "MLWI"
"MLWI" "6" "0.587925704596787" "0.966492197157497" "MLWI"
"MLWI" "6" "-0.154623685277006" "0.888931185222749" "MLWI"
"MLWI" "6" "-0.267204496117839" "0.823295216892211" "MLWI"
"MLWI" "6" "-0.255726254031449" "0.830635955196021" "MLWI"
"MLWI" "6" "-0.2590257975385" "0.828926363262122" "MLWI"
"MLWI" "6" "-0.2590257975385" "0.828926363262122" "MLWI"
"MLWI" "6" "-0.267204496117839" "0.823295216892211" "MLWI"
"MLWI" "6" "-0.255726254031449" "0.830635955196021" "MLWI"
"MLWI" "6" "-0.249007644490515" "0.835174158512061" "MLWI"
"MLWI" "6" "-0.267204496117839" "0.823295216892211" "MLWI"
"MLWI" "8" "-0.077274598301063" "0.938001789278421" "MLWI"
"MLWI" "6" "-0.154623685277006" "0.888931185222749" "MLWI"
"MLWI" "6" "-0.113495587933899" "0.911513653844533" "MLWI"
"MLWI" "11" "-0.43432005793527" "0.806201360400525" "MLWI"
"MLWI" "6" "-0.249007644490515" "0.835174158512061" "MLWI"
"MLWI" "6" "-0.267204496117839" "0.823295216892211" "MLWI"
"MLWI" "6" "-0.154623685277006" "0.888931185222749" "MLWI"
"MLWI" "6" "-0.267204496117839" "0.823295216892211" "MLWI"
"MLWI" "6" "-0.154623685277006" "0.888931185222749" "MLWI"
"MLWI" "6" "0.368925018632439" "0.998842101923848" "MLWI"
"MLWI" "6" "-0.154623685277006" "0.888931185222749" "MLWI"
